ORF	SGD	GENENAME	logFC	unshrunk.logFC	logCPM	PValue	FDR
YNL048W	S000004993	ALG11	0.15	0.146	6.13	1	1
YNR031C	S000005314	SSK2	0.11	0.108	5.9	1	1
YOR261C	S000005787	RPN8	0.05	0.0541	7.14	1	1
YOR360C	S000005887	PDE2	-0.28	-0.276	6.68	1	1
YOR291W	S000005817	YPK9	-0.33	-0.33	7.27	1	1
YHL017W	S000001009	NA	-0.15	-0.148	6.33	1	1
YBR094W	S000000298	PBY1	-0.11	-0.107	6.05	1	1
YDR432W	S000002840	NPL3	0.07	0.0686	8.05	1	1
YHR143W	S000001186	DSE2	-0.14	-0.139	7.64	1	1
YPR024W	S000006228	YME1	-0.33	-0.334	7.67	1	1
YAL038W	S000000036	CDC19	-0.12	-0.119	13.9	1	1
YFR040W	S000001936	SAP155	-0.22	-0.217	7.17	1	1
YKL196C	S000001679	YKT6	0.24	0.243	6.52	1	1
YBL061C	S000000157	SKT5	0.24	0.24	5.93	1	1
YPL082C	S000006003	MOT1	0.2	0.203	6.71	1	1
YLR274W	S000004264	MCM5	0.12	0.123	6.05	1	1
YKR088C	S000001796	TVP38	-0.08	-0.077	6.38	1	1
YKL027W	S000001510	TCD2	0.09	0.0863	6.07	1	1
YKL018W	S000001501	SWD2	0.18	0.183	5.86	1	1
YBR082C	S000000286	UBC4	-0.15	-0.152	8.99	1	1
YER118C	S000000920	SHO1	0.3	0.296	6.06	1	1
YOR061W	S000005587	CKA2	0.1	0.0976	6.29	1	1
YDL093W	S000002251	PMT5	-0.11	-0.114	5.93	1	1
YLR069C	S000004059	MEF1	0.08	0.0799	6.61	1	1
YIL126W	S000001388	STH1	0.19	0.187	7.26	1	1
YMR264W	S000004877	CUE1	0.05	0.05	5.72	1	1
YJL124C	S000003660	LSM1	0.21	0.207	5.94	1	1
YGR267C	S000003499	FOL2	0.17	0.171	6.5	1	1
YPR020W	S000006224	ATP20	-0.11	-0.112	6.26	1	1
YGL187C	S000003155	COX4	-0.21	-0.207	7.52	1	1
YKL175W	S000001658	ZRT3	-0.19	-0.189	7.1	1	1
YBR089C-A	S000002157	NHP6B	-0.12	-0.123	6.22	1	1
YNL167C	S000005111	SKO1	-0.15	-0.151	6.14	1	1
YPL244C	S000006165	HUT1	-0.19	-0.192	6.37	1	1
YOL061W	S000005422	PRS5	0.19	0.186	8.19	1	1
YNL283C	S000005227	WSC2	0.05	0.0457	7.29	1	1
YOL107W	S000005467	NA	0.06	0.0627	5.54	1	1
YOL068C	S000005429	HST1	0.16	0.164	6.19	1	1
YKL181W	S000001664	PRS1	0.39	0.392	8.34	1	1
YNL284C	S000005228	MRPL10	0.05	0.0499	6.17	1	1
YDR347W	S000002755	MRP1	-0.1	-0.0983	6.08	1	1
YGL141W	S000003109	HUL5	-0.09	-0.0879	5.63	1	1
YGR116W	S000003348	SPT6	0.12	0.125	7.81	1	1
YAL049C	S000000047	AIM2	-0.22	-0.222	6.48	1	1
YML029W	S000004491	USA1	-0.08	-0.0817	6.15	1	1
YIL147C	S000001409	SLN1	0.18	0.184	6.46	1	1
YKL215C	S000001698	OXP1	-0.08	-0.0775	6.1	1	1
YEL037C	S000000763	RAD23	0.27	0.268	7.3	1	1
YDR283C	S000002691	GCN2	0.07	0.0669	5.68	1	1
YLR292C	S000004283	SEC72	0.15	0.152	6.01	1	1
YBR146W	S000000350	MRPS9	-0.09	-0.0866	6.23	1	1
YML086C	S000004551	ALO1	-0.22	-0.223	7.84	1	1
YFL018C	S000001876	LPD1	-0.29	-0.295	7.79	1	1
YLR330W	S000004322	CHS5	-0.02	-0.0205	6.75	1	1
YNL052W	S000004997	COX5A	-0.13	-0.134	7.17	1	1
YGR132C	S000003364	PHB1	-0.29	-0.291	6.65	1	1
YGR136W	S000003368	LSB1	-0.24	-0.243	6.54	1	1
YJL062W	S000003598	LAS21	-0.18	-0.182	7.01	1	1
YDR450W	S000002858	RPS18A	0.38	0.382	10.1	1	1
YGR026W	S000003258	NA	-0.24	-0.245	7.49	1	1
YIL051C	S000001313	MMF1	-0.24	-0.237	8.18	1	1
YPL057C	S000005978	SUR1	-0.3	-0.299	6.85	1	1
YBR118W	S000000322	TEF2	-0.04	-0.0428	14	1	1
YPL221W	S000006142	FLC1	0.09	0.0858	6.53	1	1
YNR026C	S000005309	SEC12	0.09	0.0888	5.6	1	1
YJR024C	S000003785	MDE1	0.2	0.205	6	1	1
YNL030W	S000004975	HHF2	-0.17	-0.165	8.33	1	1
YDR353W	S000002761	TRR1	-0.33	-0.335	8.28	1	1
YER165W	S000000967	PAB1	0.33	0.327	9.94	1	1
YMR124W	S000004731	EPO1	-0.18	-0.177	6.22	1	1
YHR133C	S000001175	NSG1	0.19	0.185	6.95	1	1
YDR422C	S000002830	SIP1	-0.11	-0.115	5.82	1	1
YGL150C	S000003118	INO80	0.17	0.173	6.36	1	1
YBR068C	S000000272	BAP2	-0.16	-0.164	9.39	1	1
YOL013C	S000005373	HRD1	-0.23	-0.228	6.2	1	1
YOR133W	S000005659	EFT1	-0.02	-0.0156	13.2	1	1
YCR088W	S000000684	ABP1	-0.04	-0.0357	7.06	1	1
YFL041W	S000001853	FET5	-0.27	-0.27	6.5	1	1
YHR117W	S000001159	TOM71	0.11	0.107	6.56	1	1
YLR203C	S000004193	MSS51	-0.29	-0.289	7.19	1	1
YOL092W	S000005452	YPQ1	0.11	0.109	7.38	1	1
YGL040C	S000003008	HEM2	-0.08	-0.0835	6.99	1	1
YML067C	S000004532	ERV41	0.22	0.22	6.45	1	1
YLR241W	S000004231	CSC1	-0.3	-0.304	6.91	1	1
YLR017W	S000004007	MEU1	0.31	0.306	6.85	1	1
YPL084W	S000006005	BRO1	-0.07	-0.0709	6.2	1	1
YNL037C	S000004982	IDH1	-0.23	-0.228	7.33	1	1
YPR108W	S000006312	RPN7	0.12	0.12	7.2	1	1
YMR123W	S000004730	PKR1	-0.09	-0.0933	5.5	1	1
YBR038W	S000000242	CHS2	-0.1	-0.0981	6.37	1	1
YJR131W	S000003892	MNS1	0.05	0.0547	5.98	1	1
YML125C	S000004594	PGA3	0.06	0.0593	5.69	1	1
YOR142W	S000005668	LSC1	-0.27	-0.266	8.05	1	1
YPL131W	S000006052	RPL5	0.22	0.219	11.9	1	1
YJR137C	S000003898	MET5	-0.09	-0.0897	6.45	1	1
YIL005W	S000001267	EPS1	-0.06	-0.0556	6.55	1	1
YMR217W	S000004830	GUA1	0.05	0.0514	10.1	1	1
YDL073W	S000002231	AHK1	0.21	0.207	6.26	1	1
YJR101W	S000003862	RSM26	-0.13	-0.133	6.22	1	1
YGR198W	S000003430	YPP1	-0.05	-0.0466	6.45	1	1
YMR231W	S000004844	PEP5	0.07	0.0746	5.65	1	1
YJR105W	S000003866	ADO1	0.01	0.0124	9.03	1	1
YBR096W	S000000300	NA	0.22	0.216	6.45	1	1
YOR160W	S000005686	MTR10	-0.16	-0.16	6.53	1	1
YHR113W	S000001155	APE4	-0.34	-0.339	7.03	1	1
YHR162W	S000001205	MPC2	0.06	0.0571	8.41	1	1
YIL148W	S000001410	RPL40A	0.2	0.201	10.1	1	1
YBR243C	S000000447	ALG7	-0.15	-0.155	7.09	1	1
YML106W	S000004574	URA5	0.4	0.403	8.51	1	1
YGL122C	S000003090	NAB2	0.1	0.105	6.39	1	1
YOR038C	S000005564	HIR2	0.16	0.162	5.8	1	1
YOR336W	S000005863	KRE5	0.23	0.229	6.45	1	1
YPR170W-B	S000028515	NA	0.01	0.00939	6.05	1	1
YGL252C	S000003221	RTG2	0.22	0.218	6.54	1	1
YJL094C	S000003630	KHA1	-0.15	-0.146	6.73	1	1
YKL127W	S000001610	PGM1	-0.26	-0.264	7.14	1	1
YNL271C	S000005215	BNI1	-0.24	-0.245	7.31	1	1
YKR002W	S000001710	PAP1	0.06	0.0589	5.81	1	1
YNL138W	S000005082	SRV2	-0.17	-0.173	7.48	1	1
YKL024C	S000001507	URA6	0.18	0.179	6.68	1	1
YLR386W	S000004378	VAC14	0.05	0.048	5.83	1	1
YKL057C	S000001540	NUP120	0.14	0.14	7.72	1	1
YDR182W	S000002590	CDC1	-0.2	-0.202	6.39	1	1
YNL008C	S000004953	ASI3	0.17	0.165	5.98	1	1
YMR235C	S000004848	RNA1	0.29	0.287	7.31	1	1
YGL157W	S000003125	ARI1	-0.13	-0.127	5.9	1	1
YDR333C	S000002741	RQC1	0.26	0.258	6.05	1	1
YLR008C	S000003998	PAM18	0.05	0.0513	5.91	1	1
YOR014W	S000005540	RTS1	-0.24	-0.244	7.83	1	1
YOL039W	S000005399	RPP2A	0.03	0.0342	10.3	1	1
YKL106W	S000001589	AAT1	0.21	0.205	6.11	1	1
YLR367W	S000004359	RPS22B	0.28	0.282	8.35	1	1
YOR322C	S000005849	LDB19	0.22	0.224	6.32	1	1
YOR155C	S000005681	ISN1	-0.09	-0.094	5.98	1	1
YGR241C	S000003473	YAP1802	-0.23	-0.229	6.53	1	1
YLR023C	S000004013	IZH3	-0.09	-0.0855	6.01	1	1
YHR071W	S000001113	PCL5	0.06	0.0636	6.42	1	1
YPL143W	S000006064	RPL33A	0.29	0.292	9.96	1	1
YDL040C	S000002198	NAT1	0.21	0.207	7.7	1	1
YBR110W	S000000314	ALG1	0.25	0.247	6.03	1	1
YDR233C	S000002641	RTN1	-0.13	-0.13	10.2	1	1
YML051W	S000004515	GAL80	0.14	0.142	6.25	1	1
YHL030W	S000001022	ECM29	-0.17	-0.171	8.03	1	1
YMR215W	S000004828	GAS3	0.15	0.151	7.55	1	1
YIL151C	S000001413	ESL1	-0.2	-0.195	6.23	1	1
YLL050C	S000003973	COF1	-0.28	-0.278	8.31	1	1
YHR186C	S000001229	KOG1	0.16	0.159	6	1	1
YER172C	S000000974	BRR2	0.13	0.133	6.63	1	1
YKL073W	S000001556	LHS1	-0.06	-0.0574	7.96	1	1
YGR285C	S000003517	ZUO1	0.13	0.133	8.71	1	1
YCR002C	S000000595	CDC10	0.19	0.189	6.96	1	1
YPL125W	S000006046	KAP120	0.14	0.143	6.53	1	1
YNL085W	S000005029	MKT1	0.3	0.303	7.97	1	1
YHR030C	S000001072	SLT2	-0.21	-0.213	5.96	1	1
YPL085W	S000006006	SEC16	0.06	0.0641	7.14	1	1
YOR087W	S000005613	YVC1	0.11	0.109	5.79	1	1
YLR100W	S000004090	ERG27	0.38	0.375	7.11	1	1
YEL042W	S000000768	GDA1	0.35	0.348	8.3	1	1
YPR029C	S000006233	APL4	0.19	0.19	7.23	1	1
YLR104W	S000004094	LCL2	-0.03	-0.0285	5.83	1	1
YGL020C	S000002988	GET1	0.18	0.18	6.11	1	1
YPR086W	S000006290	SUA7	0.09	0.0896	5.78	1	1
YDR208W	S000002616	MSS4	0.11	0.105	6.57	1	1
YGL026C	S000002994	TRP5	-0.01	-0.00852	8.43	1	1
YOR204W	S000005730	DED1	-0.08	-0.0768	8.99	1	1
YMR013C	S000004615	SEC59	-0.07	-0.0749	6.42	1	1
YJR051W	S000003812	OSM1	0.13	0.132	5.78	1	1
YJL014W	S000003551	CCT3	0.23	0.234	7.92	1	1
YDR389W	S000002797	SAC7	0.02	0.0182	5.73	1	1
YOL020W	S000005380	TAT2	0.11	0.107	7.61	1	1
YML081W	S000004546	TDA9	0.07	0.0689	6.42	1	1
YLR087C	S000004077	CSF1	-0.17	-0.174	5.84	1	1
YDL116W	S000002274	NUP84	0.18	0.181	6.5	1	1
YDL237W	S000002396	AIM6	-0.17	-0.169	6.59	1	1
YGL027C	S000002995	CWH41	0.31	0.313	7.08	1	1
YBR218C	S000000422	PYC2	-0.08	-0.081	8.22	1	1
YHR206W	S000001249	SKN7	0.12	0.119	6.35	1	1
YDR138W	S000002545	HPR1	0.04	0.0361	5.75	1	1
YGR240C	S000003472	PFK1	-0.04	-0.0431	11.3	1	1
YER012W	S000000814	PRE1	0.06	0.0613	7.12	1	1
YER052C	S000000854	HOM3	-0.07	-0.0676	9.11	1	1
YLR066W	S000004056	SPC3	0.2	0.197	5.89	1	1
YOR128C	S000005654	ADE2	0.18	0.179	6.95	1	1
YDR028C	S000002435	REG1	0.01	0.011	6.63	1	1
YDL086W	S000002244	NA	-0.25	-0.252	6.89	1	1
YPR052C	S000006256	NHP6A	0.1	0.101	6.22	1	1
YGR089W	S000003321	NNF2	0.13	0.132	6.91	1	1
YGL228W	S000003197	SHE10	0.09	0.0896	6.71	1	1
YLR342W	S000004334	FKS1	-0.16	-0.163	9.15	1	1
YML076C	S000004541	WAR1	-0.13	-0.126	5.69	1	1
YCR084C	S000000680	TUP1	0.19	0.187	8.9	1	1
YKR059W	S000001767	TIF1	0.11	0.111	11.3	1	1
YBR220C	S000000424	NA	0.15	0.149	6.47	1	1
YAL003W	S000000003	EFB1	0.13	0.13	10.8	1	1
YPL059W	S000005980	GRX5	0.14	0.142	6.04	1	1
YMR218C	S000004831	TRS130	-0.07	-0.073	5.91	1	1
YHR026W	S000001068	VMA16	-0.04	-0.0358	8.37	1	1
YKL025C	S000001508	PAN3	-0.08	-0.0849	6.33	1	1
YPL075W	S000005996	GCR1	0.12	0.124	7.45	1	1
YDR328C	S000002736	SKP1	-0.02	-0.0167	6.19	1	1
YOR099W	S000005625	KTR1	-0.16	-0.161	8.64	1	1
YDR452W	S000002860	PPN1	-0.1	-0.1	7.5	1	1
YGR253C	S000003485	PUP2	0.07	0.0723	6.33	1	1
YIL143C	S000001405	SSL2	-0.16	-0.157	6.55	1	1
YBR078W	S000000282	ECM33	0.17	0.17	10.9	1	1
YDL055C	S000002213	PSA1	0.26	0.259	11.1	1	1
YCR067C	S000000663	SED4	-0.13	-0.132	8.14	1	1
YCR026C	S000000621	NPP1	-0.08	-0.0821	5.78	1	1
YHR155W	S000001198	LAM1	0.02	0.0211	6.01	1	1
YKL210W	S000001693	UBA1	-0.1	-0.105	8.87	1	1
YGL221C	S000003189	NIF3	0.12	0.12	6.19	1	1
YLR359W	S000004351	ADE13	0.25	0.249	8.07	1	1
YDR224C	S000002632	HTB1	-0.08	-0.078	8.37	1	1
YGR284C	S000003516	ERV29	-0.24	-0.244	8.58	1	1
YOR256C	S000005782	TRE2	-0.11	-0.113	6.08	1	1
YNR018W	S000005301	RCF2	0.11	0.106	5.64	1	1
YNL306W	S000005250	MRPS18	-0.09	-0.0894	5.81	1	1
YDR348C	S000002756	PAL1	-0.14	-0.143	6.01	1	1
YCL034W	S000000539	LSB5	-0.05	-0.0464	5.72	1	1
YNL169C	S000005113	PSD1	-0.22	-0.215	6.81	1	1
YDR335W	S000002743	MSN5	-0.21	-0.215	7.59	1	1
YNL156C	S000005100	NSG2	-0.26	-0.256	6.76	1	1
YLR172C	S000004162	DPH5	0.25	0.249	6.87	1	1
YLR179C	S000004169	NA	0.18	0.177	7.21	1	1
YGL257C	S000003226	MNT2	0.21	0.212	6	1	1
YDR510W	S000002918	SMT3	0.15	0.153	7.2	1	1
YHR005C-A	S000003530	TIM10	0.19	0.191	6.36	1	1
YBL017C	S000000113	PEP1	-0.25	-0.255	8.41	1	1
YML078W	S000004543	CPR3	-0.18	-0.18	7.3	1	1
YJR090C	S000003850	GRR1	0.03	0.0313	6.1	1	1
YHR099W	S000001141	TRA1	0.24	0.241	7.71	1	1
YNL192W	S000005136	CHS1	-0.11	-0.106	6.47	1	1
YGR125W	S000003357	NA	-0.23	-0.233	6.32	1	1
YOR168W	S000005694	GLN4	0.3	0.3	8.22	1	1
YGR135W	S000003367	PRE9	0.18	0.178	7.22	1	1
YBR029C	S000000233	CDS1	-0.21	-0.21	7.56	1	1
YBR086C	S000000290	IST2	-0.13	-0.131	9.11	1	1
YGL172W	S000003140	NUP49	-0.16	-0.157	5.91	1	1
YPL031C	S000005952	PHO85	0.06	0.0588	6.12	1	1
YHR200W	S000001243	RPN10	0.09	0.0875	6.49	1	1
YIR022W	S000001461	SEC11	-0.03	-0.031	6.04	1	1
YKR093W	S000001801	PTR2	0.07	0.0705	8.52	1	1
YJR143C	S000003904	PMT4	0.15	0.151	9.31	1	1
YDR072C	S000002479	IPT1	-0.15	-0.15	6.76	1	1
YOL090W	S000005450	MSH2	0.07	0.0683	5.94	1	1
YPL032C	S000005953	SVL3	0.15	0.145	7.41	1	1
YNL255C	S000005199	GIS2	0.05	0.0523	7.86	1	1
YGL195W	S000003163	GCN1	0.03	0.0349	8.82	1	1
YGR271W	S000003503	SLH1	0.08	0.0769	5.94	1	1
YOR332W	S000005859	VMA4	-0.12	-0.116	8.04	1	1
YPR033C	S000006237	HTS1	0.34	0.342	7.77	1	1
YCR093W	S000000689	CDC39	-0.2	-0.197	8.07	1	1
YOR290C	S000005816	SNF2	-0.02	-0.0183	6.15	1	1
YIL053W	S000001315	GPP1	0.15	0.153	11.5	1	1
YPR159W	S000006363	KRE6	0.2	0.203	8.55	1	1
YLR305C	S000004296	STT4	-0.16	-0.162	7.75	1	1
YDR002W	S000002409	YRB1	-0.13	-0.135	7.92	1	1
YBR140C	S000000344	IRA1	-0.16	-0.165	7.7	1	1
YNL176C	S000005120	TDA7	-0.19	-0.192	6.05	1	1
YBR245C	S000000449	ISW1	0.08	0.0848	6.72	1	1
YOR335C	S000005862	ALA1	0.31	0.314	8.99	1	1
YCR077C	S000000673	PAT1	0.04	0.042	6.91	1	1
YJL053W	S000003589	PEP8	0.01	0.0147	5.61	1	1
YHL039W	S000001031	EFM1	-0.08	-0.078	6.55	1	1
YMR209C	S000004822	NA	-0.04	-0.041	5.73	1	1
YHR042W	S000001084	NCP1	0.11	0.112	8.59	1	1
YDL178W	S000002337	DLD2	0.07	0.0732	6.38	1	1
YLR421C	S000004413	RPN13	-0.17	-0.165	6.11	1	1
YHR072W	S000001114	ERG7	0.34	0.343	7.53	1	1
YBR263W	S000000467	SHM1	0.18	0.183	7.87	1	1
YLR403W	S000004395	SFP1	-0.23	-0.225	6.99	1	1
YPL242C	S000006163	IQG1	0.06	0.0559	6	1	1
YIL043C	S000001305	CBR1	0.16	0.163	7.92	1	1
YOR276W	S000005802	CAF20	0.28	0.279	7.53	1	1
YGL219C	S000003187	MDM34	-0.01	-0.0128	5.69	1	1
YHR107C	S000001149	CDC12	0.13	0.131	6.27	1	1
YIL115C	S000001377	NUP159	0	0.00357	7.23	1	1
YLR250W	S000004240	SSP120	-0.13	-0.126	6.61	1	1
YLR324W	S000004316	PEX30	-0.06	-0.0589	5.54	1	1
YER155C	S000000957	BEM2	-0.15	-0.154	7.96	1	1
YOL040C	S000005400	RPS15	0.19	0.193	10.7	1	1
YBR276C	S000000480	PPS1	0.17	0.168	6.04	1	1
YDL132W	S000002290	CDC53	-0.03	-0.0271	7.4	1	1
YMR308C	S000004925	PSE1	0.27	0.271	8.83	1	1
YLR060W	S000004050	FRS1	0.22	0.216	8.95	1	1
YML012W	S000004473	ERV25	-0.14	-0.142	7.85	1	1
YNL307C	S000005251	MCK1	-0.12	-0.12	8.39	1	1
YLL001W	S000003924	DNM1	-0.09	-0.086	6.42	1	1
YPR089W	S000006293	NA	-0.12	-0.12	6.42	1	1
YDL140C	S000002299	RPO21	-0.21	-0.211	9.26	1	1
YPL218W	S000006139	SAR1	-0.17	-0.165	8.92	1	1
YGL148W	S000003116	ARO2	0.24	0.243	8.13	1	1
YJL080C	S000003616	SCP160	0.24	0.242	9.06	1	1
YFR006W	S000001902	NA	-0.27	-0.271	7.39	1	1
YGR261C	S000003493	APL6	0.2	0.203	6.63	1	1
YGL016W	S000002984	KAP122	-0.07	-0.0657	6.94	1	1
YBL081W	S000000177	NA	0.04	0.0371	6.48	1	1
YEL034W	S000000760	HYP2	0.05	0.048	11.6	1	1
YMR216C	S000004829	SKY1	-0.06	-0.0578	6.1	1	1
YPR036W	S000006240	VMA13	-0.26	-0.261	8.42	1	1
YHR049W	S000001091	FSH1	0.22	0.216	6.37	1	1
YGR264C	S000003496	MES1	0.3	0.298	8.86	1	1
YOR251C	S000005777	TUM1	-0.13	-0.131	5.93	1	1
YOR323C	S000005850	PRO2	0.2	0.2	7.12	1	1
YML018C	S000004480	NA	0.13	0.134	7.19	1	1
YPL184C	S000006105	MRN1	0.06	0.0628	6.66	1	1
YLR027C	S000004017	AAT2	0.24	0.241	8.75	1	1
YIL085C	S000001347	KTR7	0.18	0.183	6.54	1	1
YOL064C	S000005425	MET22	0.17	0.166	7.61	1	1
YDR408C	S000002816	ADE8	-0.02	-0.0167	5.53	1	1
YGR020C	S000003252	VMA7	0.02	0.0165	6.53	1	1
YLR020C	S000004010	YEH2	0.03	0.0262	5.96	1	1
YDR331W	S000002739	GPI8	0.19	0.194	5.89	1	1
YEL009C	S000000735	GCN4	0.26	0.258	10.1	1	1
YLR244C	S000004234	MAP1	0.09	0.0868	7.3	1	1
YHR047C	S000001089	AAP1	0.11	0.106	8.1	1	1
YDR354W	S000002762	TRP4	0.19	0.186	6.33	1	1
YPR189W	S000006393	SKI3	0.08	0.0785	5.93	1	1
YEL050C	S000000776	RML2	0.16	0.157	6.45	1	1
YDL205C	S000002364	HEM3	-0.15	-0.154	6.07	1	1
YGR094W	S000003326	VAS1	0.33	0.326	9.8	1	1
YKL128C	S000001611	PMU1	0.18	0.177	6.35	1	1
YPR032W	S000006236	SRO7	0.05	0.0469	5.6	1	1
YEL031W	S000000757	SPF1	-0.09	-0.089	10.5	1	1
YPL118W	S000006039	MRP51	0.01	0.00869	6.13	1	1
YDR023W	S000002430	SES1	0.16	0.164	9.27	1	1
YBR106W	S000000310	PHO88	0.24	0.239	8.74	1	1
YOR116C	S000005642	RPO31	-0.15	-0.146	8.14	1	1
YML075C	S000004540	HMG1	0.22	0.219	9.21	1	1
YOR043W	S000005569	WHI2	0.09	0.0926	6.6	1	1
YMR002W	S000004604	MIX17	0.24	0.239	7.29	1	1
YMR080C	S000004685	NAM7	-0.18	-0.178	7.41	1	1
YDR382W	S000002790	RPP2B	0.12	0.123	10.8	1	1
YDL141W	S000002300	BPL1	0.08	0.0767	5.92	1	1
YGR193C	S000003425	PDX1	-0.03	-0.0347	6.24	1	1
YGL140C	S000003108	NA	-0.16	-0.165	7.12	1	1
YGL202W	S000003170	ARO8	0.11	0.106	9.22	1	1
YAL042W	S000000040	ERV46	0.19	0.187	7.69	1	1
YNL172W	S000005116	APC1	-0.04	-0.041	5.83	1	1
YMR027W	S000004629	NA	-0.2	-0.196	7.36	1	1
YMR226C	S000004839	NA	-0.16	-0.163	7.12	1	1
YER083C	S000000885	GET2	0.05	0.0463	6.33	1	1
YBL051C	S000000147	PIN4	0.06	0.0558	6.89	1	1
YGL084C	S000003052	GUP1	-0.21	-0.212	7.6	1	1
YCL028W	S000000533	RNQ1	-0.11	-0.109	6.73	1	1
YKR048C	S000001756	NAP1	0.11	0.114	7.12	1	1
YBR039W	S000000243	ATP3	-0.28	-0.277	7.67	1	1
YLR019W	S000004009	PSR2	-0.05	-0.0485	5.91	1	1
YDR456W	S000002864	NHX1	-0.06	-0.0552	7.7	1	1
YKL081W	S000001564	TEF4	0.1	0.0985	11.2	1	1
YHR064C	S000001106	SSZ1	0.16	0.162	9.5	1	1
YMR214W	S000004827	SCJ1	-0.02	-0.0201	6.3	1	1
YNL071W	S000005015	LAT1	-0.26	-0.261	8.17	1	1
YIL062C	S000001324	ARC15	-0.11	-0.113	6.29	1	1
YMR183C	S000004795	SSO2	0.01	0.0102	6.23	1	1
YHL029C	S000001021	OCA5	0.08	0.0816	6.32	1	1
YLR291C	S000004282	GCD7	0.31	0.312	6.92	1	1
YNR067C	S000005350	DSE4	-0.21	-0.213	8.02	1	1
YLR384C	S000004376	IKI3	0.26	0.258	7.41	1	1
YCR069W	S000000665	CPR4	-0.21	-0.21	7.14	1	1
YAL043C	S000000041	PTA1	0.07	0.0695	6.56	1	1
YER136W	S000000938	GDI1	-0.25	-0.254	8.21	1	1
YJL097W	S000003633	PHS1	-0.05	-0.0509	6.84	1	1
YGL160W	S000003128	AIM14	-0.08	-0.0807	6.81	1	1
YLR047C	S000004037	FRE8	0.02	0.0165	5.79	1	1
YBR058C	S000000262	UBP14	-0.03	-0.0311	6.53	1	1
YNR030W	S000005313	ALG12	0.03	0.0329	7.45	1	1
YDR307W	S000002715	PMT7	-0.05	-0.053	6.28	1	1
YNL287W	S000005231	SEC21	-0.2	-0.199	8.75	1	1
YER129W	S000000931	SAK1	-0.05	-0.0535	6.28	1	1
YBL088C	S000000184	TEL1	0.15	0.147	6.15	1	1
YBR216C	S000000420	YBP1	0.07	0.0715	5.75	1	1
YBR034C	S000000238	HMT1	0.17	0.169	7.3	1	1
YPL053C	S000005974	KTR6	0.12	0.125	6.55	1	1
YDL180W	S000002339	NA	0.14	0.14	5.76	1	1
YAL026C	S000000024	DRS2	0.1	0.104	6.86	1	1
YGL097W	S000003065	SRM1	0.14	0.139	6.34	1	1
YDL088C	S000002246	ASM4	0.05	0.0532	6.33	1	1
YOR329C	S000005856	SCD5	-0.02	-0.0221	6.06	1	1
YOR151C	S000005677	RPB2	0.19	0.191	8.25	1	1
YNL268W	S000005212	LYP1	0.02	0.0245	7.16	1	1
YEL013W	S000000739	VAC8	-0.23	-0.229	7.81	1	1
YEL051W	S000000777	VMA8	-0.09	-0.0947	7.04	1	1
YBR048W	S000000252	RPS11B	0.3	0.302	10.2	1	1
YMR247C	S000004861	RKR1	0.08	0.0813	6.52	1	1
YGL092W	S000003060	NUP145	0.19	0.193	7.44	1	1
YOL021C	S000005381	DIS3	0.23	0.233	7.09	1	1
YGL200C	S000003168	EMP24	-0.06	-0.0637	8.37	1	1
YBL056W	S000000152	PTC3	-0.29	-0.291	7.65	1	1
YDL097C	S000002255	RPN6	0.09	0.092	7.46	1	1
YDL095W	S000002253	PMT1	0.04	0.0377	9.59	1	1
YBR023C	S000000227	CHS3	0.17	0.166	7.62	1	1
YBR222C	S000000426	PCS60	0.04	0.04	6.82	1	1
YDR304C	S000002712	CPR5	-0.26	-0.261	7.53	1	1
YDR047W	S000002454	HEM12	-0.28	-0.277	7.26	1	1
YML127W	S000004596	RSC9	-0.15	-0.147	6.58	1	1
YNL327W	S000005271	EGT2	-0.11	-0.106	9.36	1	1
YIL116W	S000001378	HIS5	-0.02	-0.0213	6.65	1	1
YOL004W	S000005364	SIN3	0.09	0.0931	7.31	1	1
YML016C	S000004478	PPZ1	-0.26	-0.256	6.74	1	1
YGR180C	S000003412	RNR4	0.13	0.135	8.24	1	1
YPR088C	S000006292	SRP54	0.14	0.138	6.76	1	1
YER019C-A	S000002127	SBH2	0.13	0.135	6.7	1	1
YGL115W	S000003083	SNF4	-0.29	-0.287	7.05	1	1
YER009W	S000000811	NTF2	-0.07	-0.0678	8.29	1	1
YNL080C	S000005024	EOS1	-0.07	-0.0694	6.45	1	1
YJR005W	S000003765	APL1	0.07	0.0665	6.28	1	1
YOL130W	S000005490	ALR1	0.1	0.097	6.18	1	1
YFL045C	S000001849	SEC53	0.19	0.186	10.2	1	1
YOR217W	S000005743	RFC1	0.04	0.0406	6.46	1	1
YHR193C	S000001236	EGD2	-0.07	-0.0683	8.99	1	1
YOR067C	S000005593	ALG8	0.05	0.0482	7.43	1	1
YJL008C	S000003545	CCT8	0.17	0.165	8.27	1	1
YOR354C	S000005881	MSC6	0.14	0.142	6.86	1	1
YBR229C	S000000433	ROT2	-0.23	-0.234	7	1	1
YIL074C	S000001336	SER33	0.24	0.238	6.98	1	1
YIL090W	S000001352	ICE2	-0.09	-0.0927	7.01	1	1
YGL077C	S000003045	HNM1	-0.02	-0.0248	8.19	1	1
YKL013C	S000001496	ARC19	-0.27	-0.269	6.72	1	1
YJL186W	S000003722	MNN5	-0.14	-0.141	6.95	1	1
YEL032W	S000000758	MCM3	0.11	0.11	6.27	1	1
YPR074C	S000006278	TKL1	0.06	0.0561	10.6	1	1
